,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
675,Philippe Rommens,24,Eredivisie,Go Ahead Eagles,midfield,400000.0,68.56,65.62,66.59,70.57,55.34,71.46
676,Gaetano Oristanio,19,Serie A,Inter Milan,midfield,350000.0,64.15,60.8,57.47,68.58,37.0,69.74
677,Burak Yilmaz,37,Super Lig ,Hatayspor,Defender,300000.0,63.44,49.21,58.84,59.86,31.47,85.84
678,Giorgi Aburjania,27,Super Lig ,Hatayspor,midfield,300000.0,61.29,58.72,53.56,63.74,45.82,69.15
679,Philipp Forster,27,Bundesliga,VfL Bochum,midfield,300000.0,61.83,64.04,57.18,62.68,37.22,63.41
680,Alexis Blin,25,Serie A,US Lecce,midfield,300000.0,79.88,79.44,60.89,80.28,69.42,90.37
681,Eren Dinkci,20,Bundesliga,1.FC Heidenheim 1846,Attack,300000.0,41.24,36.07,42.93,44.76,22.42,41.21
682,Grigoris Kastanos,24,Serie A,US Salernitana 1919,midfield,300000.0,65.2,65.13,56.84,67.68,44.64,71.17
683,Denis Genreau,23,Ligue 1,FC Toulouse,midfield,300000.0,47.13,42.97,44.66,49.11,37.36,51.76
684,Bernardo Folha,20,Primeira Liga,FC Porto,midfield,250000.0,20.88,9.02,26.04,15.82,23.27,18.4
685,Soumaila Coulibaly,18,Bundesliga,Borussia Dortmund,Defender,250000.0,33.0,0.0,35.0,4.02,48.0,45.0
686,Aymen Barkok,24,Bundesliga,1.FSV Mainz 05,midfield,200000.0,53.57,49.72,51.01,56.39,32.84,57.16
687,Armando Izzo,30,Serie A,AC Monza,Defender,200000.0,75.7,54.97,76.6,60.83,86.6,78.77
688,Loreintz Rosier,23,Primeira Liga,GD Estoril Praia,midfield,200000.0,33.24,25.03,25.55,27.96,47.47,31.98
689,Pablo,18,Primeira Liga,FC Famalicão,Attack,200000.0,37.84,38.92,36.45,38.61,22.06,37.37
690,Can Bozdogan,21,Eredivisie,FC Utrecht,midfield,200000.0,56.64,54.52,51.74,59.35,39.37,60.97
691,Luis Hernandez,33,La Liga,Cádiz CF,Defender,200000.0,78.27,61.35,70.74,71.26,80.74,90.31
692,Stefan Mitrovic,32,La Liga,Getafe CF,Defender,200000.0,68.74,37.87,71.66,43.01,84.66,75.62
693,Tim Skarke,25,Bundesliga,1.FC Union Berlin,Attack,200000.0,32.39,23.72,36.93,27.26,41.64,22.97
694,Lukas Kubler,29,Bundesliga,SC Freiburg,Defender,200000.0,65.5,47.22,60.8,44.71,78.3,75.69
695,Bruno Lourenco,24,Primeira Liga,Boavista FC,Attack,200000.0,68.08,69.62,57.97,70.24,45.21,74.48
696,Jordi Osei-Tutu,23,Bundesliga,VfL Bochum,Defender,200000.0,68.86,34.54,74.33,43.14,87.33,70.64
697,Luuk Brouwers,24,Eredivisie,FC Utrecht,midfield,200000.0,53.98,52.08,46.52,56.24,39.65,61.1
698,Victor Jensen,22,Eredivisie,FC Utrecht,midfield,200000.0,29.43,30.9,27.91,30.2,15.27,28.71
699,Joao Graca,27,Primeira Liga,Rio Ave FC,midfield,200000.0,44.95,45.11,39.9,45.65,29.8,49.14
700,Renato Pantalon,24,Primeira Liga,Rio Ave FC,Defender,125000.0,54.18,46.16,35.63,43.69,48.81,78.06
701,Ricardo Rodriguez,29,Serie A,Torino FC,Defender,100000.0,81.86,61.46,77.62,73.12,87.62,89.08
702,Adrian Butzke,23,Primeira Liga,Vitória Guimarães SC,Attack,100000.0,59.58,62.76,48.69,61.09,31.5,65.79
703,Bilel Aouacheria,28,Primeira Liga,Gil Vicente FC,Attack,100000.0,57.19,54.44,52.6,60.46,39.37,61.28
704,Anderson Jesus,27,Primeira Liga,FC Vizela,Defender,100000.0,61.42,61.37,46.9,59.88,44.77,77.52
705,Thorir Johann Helgason,21,Serie A,US Lecce,midfield,100000.0,30.15,24.87,35.0,32.34,20.05,28.4
706,Andre Pereira,27,Primeira Liga,Rio Ave FC,Attack,100000.0,49.95,45.7,47.36,53.75,28.03,52.98
707,Samu,26,Primeira Liga,FC Vizela,midfield,100000.0,77.61,75.2,69.01,80.76,60.85,85.48
708,Joao Queiros,24,Primeira Liga,GD Chaves,Defender,75000.0,27.99,7.21,8.45,8.79,36.64,58.07
709,Vasco Fernandes,35,Primeira Liga,Casa Pia AC,Defender,25000.0,59.34,52.34,48.91,60.28,45.34,75.85
710,Nwankwo Obiora,31,Primeira Liga,GD Chaves,midfield,25000.0,31.45,35.31,23.07,27.04,33.18,30.25
711,Joel Voelkerling Persson,19,Serie A,US Lecce,Attack,0.0,22.91,18.04,28.95,24.12,11.16,20.53
712,Ricardo Mangas,24,Primeira Liga,Vitória Guimarães SC,Defender,0.0,63.75,53.93,53.55,58.7,37.04,88.82
713,Djibril Sow,25,Bundesliga,Eintracht Frankfurt,midfield,0.0,73.12,77.87,57.14,74.79,54.96,82.69
714,Ukra,34,Primeira Liga,Rio Ave FC,Attack,0.0,39.33,31.65,46.16,42.56,22.63,36.96
715,Matteo Guendouzi,23,Ligue 1,Olympique Marseille,midfield,0.0,76.59,74.66,67.09,80.22,47.07,84.4
716,Pape Matar Sarr,19,Premier League,Tottenham Hotspur,midfield,0.0,26.07,22.54,26.26,28.68,22.5,26.78
717,Keven Schlotterbeck,25,Bundesliga,SC Freiburg,Defender,0.0,70.26,32.54,78.57,25.56,91.57,78.34
718,Francesco Antonucci,23,Eredivisie,Feyenoord Rotterdam,midfield,0.0,42.64,41.21,43.2,44.29,22.69,41.88
719,Sebastiano Luperto,25,Serie A,FC Empoli,Defender,0.0,86.59,67.85,84.62,71.83,97.62,92.3
720,Alessandro Bastoni,23,Serie A,Inter Milan,Defender,0.0,80.94,50.61,77.79,61.86,90.79,93.33
721,Michel Vlap,25,Eredivisie,Twente Enschede FC,midfield,0.0,76.03,73.62,69.78,79.53,51.14,81.19
722,Cristhian Mosquera,18,La Liga,Valencia CF,Defender,0.0,49.03,3.61,64.33,5.3,74.33,52.18
723,Allan Saint-Maximin,25,Premier League,Newcastle United,Attack,0.0,64.87,56.89,69.04,71.62,30.65,61.92
724,Leonardo Balerdi,23,Ligue 1,Olympique Marseille,Defender,0.0,74.0,61.32,54.68,70.15,73.64,90.9
725,Takehiro Tomiyasu,23,Premier League,Arsenal FC,Defender,0.0,73.31,36.07,81.63,44.01,94.63,72.99
726,Michal Sadilek,23,Eredivisie,Twente Enschede FC,midfield,0.0,38.57,36.83,41.52,37.01,38.91,35.92
727,Luca Ranieri,23,Serie A,ACF Fiorentina,Defender,0.0,58.32,14.43,67.67,17.65,80.67,67.27
728,Jacob Rasmussen,25,Serie A,ACF Fiorentina,Defender,0.0,53.61,36.76,48.25,20.82,61.25,68.18
729,Fode Ballo-Toure,25,Serie A,AC Milan,Defender,0.0,62.48,24.93,70.88,23.65,83.88,70.23
730,Richarlison,25,Premier League,Tottenham Hotspur,Attack,0.0,63.62,61.49,57.94,67.07,41.82,67.99
731,Fabio Vieira,22,Premier League,Arsenal FC,midfield,0.0,55.43,51.17,58.19,58.34,30.31,54.01
732,Francisco Conceicao,19,Eredivisie,Ajax Amsterdam,Attack,0.0,46.97,41.01,48.79,50.55,26.19,47.51
733,Jonas Wind,23,Bundesliga,VfL Wolfsburg,Attack,0.0,58.0,64.02,49.57,58.83,33.81,59.59
734,Valentin Antov,21,Serie A,AC Monza,Defender,0.0,48.45,14.43,47.74,18.19,60.74,67.13
735,Filippo Ranocchia,21,Serie A,Juventus FC,midfield,0.0,36.38,33.19,40.6,37.36,21.83,34.35
736,Devyne Rensch,19,Eredivisie,Ajax Amsterdam,Defender,0.0,67.21,54.84,51.7,56.38,70.02,87.6
737,Fran Beltran,23,La Liga,Celta de Vigo,midfield,0.0,80.17,78.98,66.09,83.9,48.46,91.73
738,Adam Ounas,25,Ligue 1,LOSC Lille,Attack,0.0,54.53,48.0,59.42,58.1,36.64,52.58
739,Yayah Kallon,21,Serie A,Hellas Verona,Attack,0.0,52.74,50.42,50.52,55.4,35.42,54.64
740,Joakim Maehle,25,Serie A,Atalanta BC,Defender,0.0,77.28,64.83,68.16,75.23,78.16,87.58
741,Salih Ozcan,24,Bundesliga,Borussia Dortmund,midfield,0.0,57.3,56.41,46.44,59.57,43.78,66.76
742,Dany Mota,24,Serie A,AC Monza,Attack,0.0,69.07,73.41,57.61,73.04,35.44,72.23
743,Loic Bade,22,La Liga,Sevilla FC,Defender,0.0,79.0,42.8,83.18,37.05,96.18,93.85
744,Yannik Keitel,22,Bundesliga,SC Freiburg,midfield,0.0,48.89,47.53,41.18,51.75,30.61,55.12
745,Evanilson,22,Primeira Liga,FC Porto,Attack,0.0,55.34,62.19,45.91,56.13,33.58,57.13
746,Bruno Ventura,21,Primeira Liga,Rio Ave FC,midfield,0.0,12.6,4.51,27.71,12.87,4.33,5.29
747,Andre Franco,24,Primeira Liga,FC Porto,midfield,0.0,43.9,45.97,43.87,43.6,23.94,42.15
748,Tomas Handel,21,Primeira Liga,Vitória Guimarães SC,midfield,0.0,28.39,28.7,30.43,24.68,28.82,25.62
749,Manu Sanchez,21,La Liga,Celta de Vigo,Defender,0.0,76.08,54.21,73.92,66.76,83.92,79.72
750,Jon Moncayola,24,La Liga,CA Osasuna,midfield,0.0,83.95,83.11,70.41,87.68,59.66,94.6
751,Matheus Pereira,21,Primeira Liga,FC Vizela,Defender,0.0,57.6,50.99,38.4,39.14,48.78,91.49
752,Lovro Majer,24,Ligue 1,Stade Rennais FC,midfield,0.0,77.23,72.31,74.97,80.78,41.94,80.87
753,Mor Ndiaye,21,Primeira Liga,GD Estoril Praia,midfield,0.0,60.5,56.52,43.43,58.48,59.06,67.95
754,Paul Jaeckel,24,Bundesliga,1.FC Union Berlin,Defender,0.0,77.02,47.49,79.71,32.09,92.71,88.19
755,Dani Olmo,24,Bundesliga,RB Leipzig,midfield,0.0,59.7,53.43,63.56,64.43,33.17,57.37
756,Konstantinos Mavropanos,24,Bundesliga,VfB Stuttgart,Defender,0.0,82.48,51.01,79.84,58.44,97.34,94.3
757,Shandon Baptiste,24,Premier League,Brentford FC,midfield,0.0,54.05,49.66,50.17,57.6,33.76,58.75
758,Samu Costa,21,Ligue 1,UD Almería,midfield,0.0,72.82,72.88,60.43,75.18,59.2,82.8
759,Thierry Correia,23,La Liga,Valencia CF,Defender,0.0,76.51,46.89,74.34,57.01,84.34,90.35
760,Alex Centelles,24,Ligue 1,UD Almería,Defender,0.0,52.13,33.65,35.0,33.7,55.43,84.36
761,Achraf Hakimi,23,Ligue 1,Paris Saint-Germain,Defender,0.0,66.05,60.9,63.74,63.66,61.53,75.27
762,Amir Rrahmani,28,Serie A,SSC Napoli,Defender,0.0,72.4,54.86,63.42,59.27,73.42,93.47
763,Ryan Sessegnon,22,Premier League,Tottenham Hotspur,midfield,0.0,42.26,42.57,40.56,42.4,29.23,43.51
764,Aihen Munoz,24,La Liga,Real Sociedad,Defender,0.0,77.49,39.77,84.4,49.55,97.4,78.6
765,Carles Alena,24,La Liga,Getafe CF,midfield,0.0,78.69,80.3,63.03,81.43,42.85,89.99
766,Elayis Tavsan,21,Eredivisie,NEC Nijmegen,Attack,0.0,74.54,73.03,63.74,80.69,46.87,80.72
767,Flavius Daniliuc,21,Serie A,US Salernitana 1919,Defender,0.0,72.91,47.08,68.49,54.22,78.49,90.42
768,Alex Kral,24,Bundesliga,1.FC Union Berlin,midfield,0.0,64.98,63.22,54.85,68.18,48.14,73.68
769,Juan Foyth,24,La Liga,Villarreal CF,Defender,0.0,77.09,44.62,87.64,49.56,87.64,83.53
770,Rolando Mandragora,25,Serie A,ACF Fiorentina,midfield,0.0,70.81,66.22,68.89,73.16,51.7,74.97
771,Gianluca Gaetano,22,Serie A,SSC Napoli,midfield,0.0,32.9,24.19,54.71,34.47,10.17,18.23
772,Kevin Paredes,19,Bundesliga,VfL Wolfsburg,midfield,0.0,58.5,60.21,59.81,59.03,40.96,54.95
773,Rodrigo Gomes,19,Primeira Liga,SC Braga,Attack,0.0,38.31,40.56,37.26,38.33,21.62,37.1
774,Jules Kounde,23,La Liga,FC Barcelona,Defender,0.0,75.08,53.47,68.19,60.53,78.19,93.42
775,Alphonso Davies,21,Bundesliga,Bayern Munich,Defender,0.0,81.06,47.56,81.88,61.63,94.88,85.87
776,Luca Netz,19,Bundesliga,Borussia Mönchengladbach,Defender,0.0,63.47,44.59,60.78,43.41,78.28,70.24
777,Marco Bertini,19,Serie A,SS Lazio,midfield,0.0,0.43,0.0,0.0,0.0,1.73,0.0
778,Ricardo Pepi,19,Eredivisie,PSV Eindhoven,Attack,0.0,67.94,75.31,53.77,69.6,37.19,73.06
779,Enes Unal,25,La Liga,Getafe CF,Attack,0.0,79.79,85.67,62.53,82.21,44.6,88.73
780,Maxime Lopez,24,Serie A,US Sassuolo,midfield,0.0,69.4,65.61,62.15,72.39,43.64,77.46
781,Matty Cash,24,Premier League,Aston Villa,Defender,0.0,75.41,45.13,75.01,54.05,85.01,87.58
782,Borja Mayoral,25,La Liga,Getafe CF,Attack,0.0,79.46,86.39,61.31,82.24,42.82,87.9
783,Konrad Laimer,25,Bundesliga,Bayern Munich,midfield,0.0,56.8,53.87,46.37,52.08,63.54,57.72
784,Hamed Junior Traore,22,Premier League,AFC Bournemouth,midfield,0.0,25.45,13.64,36.79,24.27,23.25,17.49
785,Igor Zubeldia,25,La Liga,Real Sociedad,Defender,0.0,75.38,61.08,74.68,61.81,84.68,80.34
786,Victor Chust,22,La Liga,Cádiz CF,Defender,0.0,64.57,43.93,60.66,27.31,73.66,80.05
787,Umar Sadiq,25,La Liga,Real Sociedad,Attack,0.0,14.66,23.24,17.3,11.18,4.43,6.93
788,Mattia Viti,20,Serie A,US Sassuolo,Defender,0.0,54.16,35.01,51.35,17.16,64.35,65.93
789,Hugo Magnetti,24,Ligue 1,Stade Brestois 29,midfield,0.0,72.04,73.29,58.26,75.01,51.11,81.63
790,Martin Satriano,21,Serie A,Inter Milan,Attack,0.0,68.83,70.86,54.09,72.49,40.92,77.88
791,Maxence Caqueret,22,Ligue 1,Olympique Lyon,midfield,0.0,87.33,87.47,78.46,90.39,66.11,93.02
792,Sandro Tonali,22,Premier League,Newcastle United,midfield,0.0,80.73,78.36,72.31,83.97,64.15,88.29
793,Lucien Agoume,20,Serie A,Inter Milan,midfield,0.0,40.06,31.84,36.02,36.74,47.23,40.24
794,Christopher Nkunku,24,Premier League,Chelsea FC,Attack,0.0,66.92,68.13,65.21,71.89,30.46,62.44
795,Chris Fuhrich,24,Bundesliga,VfB Stuttgart,Attack,0.0,78.69,77.89,70.49,82.85,58.14,83.52
796,Tiago Tomas,20,Bundesliga,VfL Wolfsburg,Attack,0.0,63.17,64.26,54.49,66.49,40.78,67.42
797,Felix Passlack,24,Bundesliga,VfL Bochum,Defender,0.0,50.42,3.61,55.12,24.78,68.12,53.68
798,Aaron Wan-Bissaka,24,Premier League,Manchester United,Defender,0.0,71.72,32.58,76.24,40.44,76.24,93.96
799,Reggie Cannon,24,Primeira Liga,Boavista FC,Defender,0.0,63.37,52.3,46.6,59.6,61.78,79.78
800,Nacho Vidal,27,La Liga,CA Osasuna,Defender,0.0,71.93,34.38,81.02,41.42,94.02,71.27
801,Ruben Pena,31,La Liga,CA Osasuna,Defender,0.0,73.53,34.38,82.94,42.96,95.94,72.28
802,Ruben Sobrino,30,La Liga,Cádiz CF,Attack,0.0,74.85,77.54,58.76,77.12,53.58,85.96
803,Inigo Lekue,29,La Liga,Athletic Bilbao,Defender,0.0,70.41,34.32,77.56,43.39,90.56,70.12
804,Pablo Fornals,26,Premier League,West Ham United,midfield,0.0,75.98,76.1,68.59,78.75,45.75,80.46
805,Said Benrahma,26,Premier League,West Ham United,Attack,0.0,82.76,80.08,74.97,88.3,47.96,87.69
806,Darko Brasanac,30,La Liga,CA Osasuna,midfield,0.0,57.37,59.01,48.31,58.59,42.19,63.59
807,Mats Seuntjens,30,Eredivisie,FC Utrecht,Attack,0.0,32.51,25.39,37.9,33.12,21.02,33.64
808,Robin Knoche,30,Bundesliga,1.FC Union Berlin,Defender,0.0,74.7,61.42,67.57,64.66,85.07,81.5
809,Wendell,29,Primeira Liga,FC Porto,Defender,0.0,60.91,48.63,50.13,54.61,52.23,86.67
810,Matthias Ginter,28,Bundesliga,SC Freiburg,Defender,0.0,80.64,67.9,74.87,68.97,92.37,86.36
811,Baptiste Santamaria,27,Ligue 1,Stade Rennais FC,midfield,0.0,58.3,60.41,47.94,58.34,50.89,63.55
812,Nathaniel Clyne,31,Premier League,Crystal Palace,Defender,0.0,73.58,37.87,80.49,44.58,93.49,75.76
813,Casemiro,30,Premier League,Manchester United,midfield,0.0,72.23,68.03,59.82,68.28,76.94,75.66
814,Koffi Djidji,29,Serie A,Torino FC,Defender,0.0,73.98,64.97,65.44,68.38,75.44,86.67
815,Yannick Gerhardt,28,Bundesliga,VfL Wolfsburg,midfield,0.0,68.69,75.65,56.61,69.1,42.86,73.41
816,Vitor Gomes,34,Primeira Liga,Rio Ave FC,midfield,0.0,46.17,42.9,43.37,48.55,27.76,49.87
817,Daniel Podence,26,Premier League,Wolverhampton Wanderers,Attack,0.0,76.42,78.43,67.04,79.19,40.19,81.03
818,Granit Xhaka,29,Bundesliga,Bayer 04 Leverkusen,midfield,0.0,88.12,91.58,76.38,90.69,52.47,93.83
819,Mikel Merino,26,La Liga,Real Sociedad,midfield,0.0,78.77,75.57,71.27,81.15,62.35,87.08
820,Jaume Costa,34,La Liga,RCD Mallorca,Defender,0.0,76.61,56.12,72.89,67.42,82.89,83.23
821,Nemanja Radonjic,26,Serie A,Torino FC,Attack,0.0,65.95,64.01,58.6,71.86,33.37,69.32
822,Tiago Silva,29,Primeira Liga,Vitória Guimarães SC,midfield,0.0,66.94,64.37,59.92,68.07,53.11,75.4
823,Nicolas Hofler,32,Bundesliga,SC Freiburg,midfield,0.0,71.22,70.06,54.7,73.57,57.21,84.05
824,Joaozinho,33,Primeira Liga,GD Estoril Praia,Defender,0.0,63.62,59.34,54.7,62.48,54.84,77.84
825,Fred,29,Premier League,Manchester United,midfield,0.0,84.1,81.1,78.71,87.1,50.36,89.5
826,Oscar Trejo,34,La Liga,Rayo Vallecano,midfield,0.0,82.96,79.58,78.08,86.42,43.6,87.77
827,Ruben Lima,32,Primeira Liga,FC Famalicão,Defender,0.0,50.44,41.01,33.5,37.01,27.96,90.24
828,David Simao,32,Primeira Liga,FC Arouca,midfield,0.0,69.7,67.77,58.75,72.41,57.79,79.87
829,Elseid Hysaj,28,Serie A,SS Lazio,Defender,0.0,76.43,69.72,68.92,70.86,78.92,86.2
830,Laurent Abergel,29,Ligue 1,FC Lorient,midfield,0.0,67.41,63.22,50.3,66.39,62.93,77.11
831,Karol Linetty,27,Serie A,Torino FC,midfield,0.0,72.13,73.2,58.92,74.53,48.65,81.85
832,Pascal Stenzel,26,Bundesliga,VfB Stuttgart,Defender,0.0,59.86,19.84,61.13,30.08,74.13,74.09
833,Jordan Ferri,30,Ligue 1,Montpellier HSC,midfield,0.0,77.89,78.12,64.86,80.54,55.17,88.04
834,Gernot Trauner,30,Eredivisie,Feyenoord Rotterdam,Defender,0.0,56.37,32.58,35.55,39.17,56.16,94.61
835,David Silva,36,La Liga,Real Sociedad,midfield,0.0,68.26,65.35,64.77,71.29,44.67,71.62
836,Harry Kane,29,Premier League,Tottenham Hotspur,Attack,0.0,91.64,99.0,75.81,95.22,48.26,96.52
837,Bruma,27,Primeira Liga,SC Braga,Attack,0.0,47.95,42.68,52.56,55.22,36.86,41.32
838,Vincent Le Goff,32,Ligue 1,FC Lorient,Defender,0.0,80.35,65.11,61.53,75.33,86.21,94.76
839,Chris Smalling,32,Serie A,AS Roma,Defender,0.0,70.09,63.59,61.46,63.97,71.46,81.35
840,Benjamin Bourigeaud,28,Ligue 1,Stade Rennais FC,midfield,0.0,90.76,86.48,87.26,94.21,53.47,95.1
841,Ivan Alejo,27,La Liga,Cádiz CF,Attack,0.0,70.99,67.9,60.87,74.22,49.01,80.95
842,Cassiano,33,Primeira Liga,GD Estoril Praia,Attack,0.0,34.81,40.11,25.87,33.89,27.23,38.01
843,Vincenzo Grifo,29,Bundesliga,SC Freiburg,Attack,0.0,82.52,82.83,78.33,85.16,47.5,83.76
844,Niklas Sule,26,Bundesliga,Borussia Dortmund,Defender,0.0,84.09,53.41,84.19,62.0,97.19,92.96
845,Alvaro Garcia,29,La Liga,Rayo Vallecano,Attack,0.0,82.1,83.1,68.79,86.51,47.53,90.0
846,Bryan Cristante,27,Serie A,AS Roma,midfield,0.0,86.42,81.22,60.7,82.37,87.45,94.66
847,Christian Gross,33,Bundesliga,SV Werder Bremen,midfield,0.0,62.56,66.62,44.62,59.13,57.13,67.35
848,Jim Allevinah,27,Ligue 1,Clermont Foot 63,midfield,0.0,80.09,80.83,64.73,83.83,50.97,90.96
849,Matheus Reis,27,Primeira Liga,Sporting CP,Defender,0.0,70.13,61.16,65.08,70.47,60.71,83.83
850,Ivan Marcano,35,Primeira Liga,FC Porto,Defender,0.0,57.5,54.84,40.23,49.84,37.63,85.08
851,Benno Schmitz,27,Bundesliga,1.FC Köln,Defender,0.0,71.61,58.3,70.53,65.12,70.53,80.27
852,Giovanni Di Lorenzo,28,Serie A,SSC Napoli,Defender,0.0,81.68,69.6,70.96,80.26,80.96,94.56
853,Bernardo Espinosa,33,La Liga,Girona FC,Defender,0.0,61.94,38.33,62.11,40.26,75.11,70.28
854,Javi Galan,27,La Liga,Atlético de Madrid,Defender,0.0,81.53,64.96,75.28,79.11,75.28,96.45
855,Willi Orban,29,Bundesliga,RB Leipzig,Defender,0.0,78.52,64.5,73.03,66.52,90.53,83.98
856,Moussa Niakhate,26,Premier League,Nottingham Forest,Defender,0.0,66.29,23.68,72.02,27.98,85.02,80.12
857,Edin Dzeko,36,Super Lig ,Fenerbahce,Attack,0.0,77.76,80.31,66.72,81.58,39.43,82.42
858,Luka Modric,36,La Liga,Real Madrid,midfield,0.0,80.55,77.95,77.04,83.57,45.18,83.64
859,Alexander Hack,28,Bundesliga,1.FSV Mainz 05,Defender,0.0,68.14,32.46,61.0,38.25,78.5,94.8
860,Ante Budimir,31,La Liga,CA Osasuna,Attack,0.0,70.35,76.68,53.96,72.5,37.76,78.27
861,Radamel Falcao,36,La Liga,Rayo Vallecano,Attack,0.0,59.46,61.7,46.68,62.03,32.52,67.45
862,Francesco Acerbi,34,Serie A,Inter Milan,Defender,0.0,73.26,54.18,70.33,63.7,80.33,78.68
863,Iago,25,Bundesliga,FC Augsburg,Defender,0.0,70.53,37.87,71.3,48.83,84.3,77.68
864,Ado Onaiwu,26,Ligue 1,FC Toulouse,Attack,0.0,75.39,80.33,58.19,78.3,43.08,84.76
865,Nico Elvedi,25,Bundesliga,Borussia Mönchengladbach,Defender,0.0,78.36,63.36,75.31,64.03,92.81,81.27
866,Franck Honorat,25,Bundesliga,Borussia Mönchengladbach,Attack,0.0,81.38,80.24,76.92,85.06,55.01,83.28
867,Hamari Traore,30,La Liga,Real Sociedad,Defender,0.0,74.67,55.74,70.95,67.16,80.95,79.61
868,Bernardo Silva,27,Premier League,Manchester City,midfield,0.0,80.81,83.29,70.05,83.23,51.09,86.67
869,Adrian Marin,25,Primeira Liga,SC Braga,Defender,0.0,69.59,54.11,59.91,65.61,72.35,80.49
870,Mario Rui,31,Serie A,SSC Napoli,Defender,0.0,77.57,38.13,82.91,53.58,95.91,77.89
871,Ruben Fernandes,36,Primeira Liga,Gil Vicente FC,Defender,0.0,56.38,45.09,42.76,52.21,38.17,85.46
872,David Garcia,28,La Liga,CA Osasuna,Defender,0.0,76.01,61.45,73.54,64.34,83.54,82.63
873,Jesus Navas,36,La Liga,Sevilla FC,Defender,0.0,81.65,56.01,81.74,69.31,94.74,80.83
874,Bruno Wilson,25,Primeira Liga,FC Vizela,Defender,0.0,54.2,41.62,38.99,48.22,46.29,80.68
875,Thomas Foket,27,Ligue 1,Stade Reims,Defender,0.0,55.09,41.53,47.17,50.46,42.09,80.65
876,Nemanja Gudelj,30,La Liga,Sevilla FC,midfield,0.0,75.36,79.22,55.67,76.82,58.41,86.97
877,Phillipp Mwene,28,Eredivisie,PSV Eindhoven,Defender,0.0,61.84,43.42,50.97,53.24,59.3,83.83
878,Christoph Kramer,31,Bundesliga,Borussia Mönchengladbach,midfield,0.0,64.09,63.17,52.04,67.2,49.85,73.96
879,Juanpe,31,La Liga,Girona FC,Defender,0.0,74.76,40.73,76.14,38.65,89.14,93.03
880,Makoto Hasebe,38,Bundesliga,Eintracht Frankfurt,Defender,0.0,66.39,30.66,63.78,35.3,76.78,89.72
881,Pepe,39,Primeira Liga,FC Porto,Defender,0.0,59.11,41.57,40.62,48.61,64.51,81.75
882,Ivan Toney,26,Premier League,Brentford FC,Attack,0.0,76.65,84.61,59.56,78.49,42.85,83.94
883,Anthony Losilla,36,Bundesliga,VfL Bochum,midfield,0.0,72.92,71.77,53.84,71.23,66.8,81.89
884,Nermin Zolotic,29,Primeira Liga,Casa Pia AC,Defender,0.0,64.64,50.58,49.38,59.09,54.09,94.79
885,Joca,26,Primeira Liga,Rio Ave FC,Attack,0.0,16.5,11.27,19.29,16.61,15.79,14.3
886,Ellyes Skhiri,27,Bundesliga,Eintracht Frankfurt,midfield,0.0,74.36,82.32,57.96,74.41,54.94,82.75
887,Jonas Hofmann,30,Bundesliga,Bayer 04 Leverkusen,Attack,0.0,81.15,83.92,79.94,82.35,44.19,78.37
888,Etienne Capoue,34,La Liga,Villarreal CF,midfield,0.0,64.92,67.96,54.1,66.46,43.16,71.16
889,Romain Del Castillo,26,Ligue 1,Stade Brestois 29,midfield,0.0,67.75,62.01,68.24,71.9,45.08,68.85
890,Kiko Bondoso,26,Primeira Liga,FC Vizela,Attack,0.0,78.84,78.26,67.25,83.75,52.09,86.09
891,Bonke Innocent,26,Ligue 1,FC Lorient,midfield,0.0,55.06,54.11,44.42,57.87,37.24,63.83
892,Dani Rodriguez,34,La Liga,RCD Mallorca,midfield,0.0,80.9,83.43,66.58,83.61,55.08,89.96
893,Diego Rico,29,La Liga,Real Sociedad,Defender,0.0,68.17,34.43,72.73,42.52,85.73,71.71
894,Karim Onisiwo,30,Bundesliga,1.FSV Mainz 05,Attack,0.0,74.09,77.94,62.74,77.53,38.35,78.16
895,Ricardo Horta,27,Primeira Liga,SC Braga,Attack,0.0,77.61,76.48,77.04,79.92,47.77,77.0
896,Simon Zoller,31,Bundesliga,VfL Bochum,Attack,0.0,60.02,64.56,45.71,61.9,34.83,67.89
897,Ryan Fredericks,29,Premier League,AFC Bournemouth,Defender,0.0,53.48,19.84,51.13,24.82,64.13,73.81
898,Bebe,32,La Liga,Rayo Vallecano,Attack,0.0,19.66,6.76,42.71,20.15,5.33,9.03
899,Rodrigo Abascal,28,Primeira Liga,Boavista FC,Defender,0.0,64.36,47.0,47.42,55.47,63.66,90.89
900,Andres Guardado,35,La Liga,Real Betis Balompié,midfield,0.0,60.86,63.24,51.23,62.0,45.53,66.96
901,Falaye Sacko,27,Ligue 1,Montpellier HSC,Defender,0.0,74.96,68.31,60.89,72.52,69.43,89.57
902,Brendan Chardonnet,27,Ligue 1,Stade Brestois 29,Defender,0.0,60.88,52.41,48.87,60.37,53.99,76.75
903,Inaki Williams,28,La Liga,Athletic Bilbao,Attack,0.0,83.38,86.86,68.06,87.94,47.53,90.64
904,Mario Hermoso,27,La Liga,Atlético de Madrid,Defender,0.0,74.8,53.72,71.92,53.88,84.92,88.46
905,Pablo Mari,28,Serie A,AC Monza,Defender,0.0,68.54,56.51,64.08,59.84,74.08,76.15
906,Steven Vitoria,35,Primeira Liga,GD Chaves,Defender,0.0,63.51,58.53,49.61,62.21,53.82,79.5
